Category,Product,Price,URL
Fridges,"Croma 7 in 1 Convertible 1 Ton 3 Star Inverter Split AC with Temperature Sensor (2025 Model, Copper Condenser, CRLA012IND283264)","₹28,990",https://www.croma.com/croma-7-in-1-convertible-1-ton-3-star-inverter-split-ac-with-temperature-sensor-2025-model-copper-condenser-crla012ind283264-/p/311918
Fridges,"CNS Trolley for Washing Machines, Refrigerators, and Dishwashers (24 Wheels, Upto 350 L, Black)",₹699,https://www.croma.com/cns-trolley-for-washing-machines-refrigerators-and-dishwashers-24-wheels-upto-350-l-black-/p/224669
Fridges,"Croma 7 in 1 Convertible 1.5 Ton 3 Star Inverter Split AC with Auto clean function (2025 Model, Copper Condenser, CRLA018IND283265)","₹31,490",https://www.croma.com/croma-7-in-1-convertible-1-5-ton-3-star-inverter-split-ac-with-auto-clean-function-2025-model-copper-condenser-crla018ind283265-/p/311927
Fridges,"Croma 7 kg 5 Star Fully Automatic Top Load Washing Machine ( Spin Dry Function, Grey)","₹13,490",https://www.croma.com/croma-7-kg-5-star-fully-automatic-top-load-washing-machine-spin-dry-function-grey-/p/252060
Fridges,"V-Guard 12 Amps Voltage Stabilizer For 1.5T Air Conditioner (170 - 270 V, Smart Digital Display, VG 400, Grey)","₹2,189",https://www.croma.com/v-guard-12-amps-voltage-stabilizer-for-1-5t-air-conditioner-170-270-v-smart-digital-display-vg-400-grey-/p/208969
Fridges,"LG 6 in 1 Convertible 1.5 Ton 5 Star Dual Inverter Split AC with 6 Step Fan Speed (2025 Model, Copper Condenser, US-Q19HNZE.ANLG)","₹44,990",https://www.croma.com/lg-6-in-1-convertible-1-5-ton-5-star-dual-inverter-split-ac-with-6-step-fan-speed-2025-model-copper-condenser-us-q19hnze-anlg-/p/313466
Fridges,Croma 7 kg 5 Star Semi Automatic Washing Machine with Built-in Soak Function (Burgundy),"₹8,290",https://www.croma.com/croma-7-kg-5-star-semi-automatic-washing-machine-with-built-in-soak-function-burgundy-/p/268675
Fridges,"LG 6 in 1 Convertible 1.5 Ton 3 Star Dual Inverter Split AC with 6 Step Fan Speed (2025 Model, Copper Condenser, US-Q18RNXE.AMLG)","₹36,490",https://www.croma.com/lg-6-in-1-convertible-1-5-ton-3-star-dual-inverter-split-ac-with-6-step-fan-speed-2025-model-copper-condenser-us-q18rnxe-amlg-/p/313470
Fridges,"DAIKIN Premium Series 1.5 Ton 3 Star Inverter Split Smart AC with Dew Clean Technology (Copper Condenser, ATKL50UV16V/U/V3)","₹37,490",https://www.croma.com/daikin-premium-series-1-5-ton-3-star-inverter-split-smart-ac-with-dew-clean-technology-copper-condenser-atkl50uv16v-u-v3-/p/257366
Fridges,"VOLTAS 163V Vectra Pearl 4 in 1 Convertible 1.3 Ton 3 Star Inverter Split AC with Anti Dust Filter ( Copper Condenser, 4503543)","₹29,690",https://www.croma.com/voltas-163v-vectra-pearl-4-in-1-convertible-1-3-ton-3-star-inverter-split-ac-with-anti-dust-filter-copper-condenser-4503543-/p/270260
Fridges,"BOSCH Washing Machine Cleaner (311925, White)",₹699,https://www.croma.com/bosch-washing-machine-cleaner-311925-white-/p/226657
Fridges,"Croma 1600 Watts 210ml Steam Iron (360 Degree Swivel Cord, Grey)",₹799,https://www.croma.com/croma-1600-watts-210ml-steam-iron-360-degree-swivel-cord-grey-/p/244113
Fridges,"SAMSUNG Stylish Grande 183 Litres3 Star Direct Cool Single Door Refrigerator with Anti Bacterial Gasket (RR20C2Y23S8/HL, Elegant Inox)","₹16,590",https://www.croma.com/samsung-stylish-grande-183-litres3-star-direct-cool-single-door-refrigerator-with-anti-bacterial-gasket-rr20c2y23s8-hl-elegant-inox-/p/268238
Fridges,"DAIKIN Premium Series 1 Ton 3 Star Inverter Split Smart AC with Dew Clean Technology (Copper Condenser, ATKL35UV16W)","₹33,990",https://www.croma.com/daikin-premium-series-1-ton-3-star-inverter-split-smart-ac-with-dew-clean-technology-copper-condenser-atkl35uv16w-/p/257363
Fridges,"BAJAJ Pygmy Mini 110mm 3 Blade Rechargeable Personal Fan with 1800 mAh Battery (Silent Operation, Cerulean Blue)","₹1,199",https://www.croma.com/bajaj-pygmy-mini-110mm-3-blade-rechargeable-personal-fan-with-1800-mah-battery-silent-operation-cerulean-blue-/p/232310
Fridges,"Whirlpool 7 kg 5 Star Fully Automatic Top Load Washing Machine (Classic, 31616, 6th Sense Technology, Grey)","₹20,150",https://www.croma.com/whirlpool-7-kg-5-star-fully-automatic-top-load-washing-machine-classic-31616-6th-sense-technology-grey-/p/270618
Fridges,"PHILIPS EasySpeed Plus 2400 Watts 270ml Steam Iron (Steam Boost, Purple)","₹2,794",https://www.croma.com/philips-easyspeed-plus-2400-watts-270ml-steam-iron-steam-boost-purple-/p/229403
Fridges,"DAIKIN Premium Series 1.5 Ton 5 Star Inverter Split AC (Copper Condenser, PM 2.5 Filter, ATKM50UV16VA)","₹45,990",https://www.croma.com/daikin-premium-series-1-5-ton-5-star-inverter-split-ac-copper-condenser-pm-2-5-filter-atkm50uv16va-/p/306495
ACs,"Microsoft Surface Pro 11th Edition Wi-Fi Windows 11 Home Tablet (13 Inch, 16GB RAM, 512GB ROM, Platinum)","₹1,31,990",https://www.croma.com/microsoft-surface-pro-11th-edition-wi-fi-windows-11-home-tablet-13-inch-16gb-ram-512gb-rom-platinum-/p/308522
ACs,"Microsoft Surface Pro 11th Edition Wi-Fi Windows 11 Home Tablet (13 Inch, 32GB RAM, 1TB ROM, Platinum)","₹2,32,990",https://www.croma.com/microsoft-surface-pro-11th-edition-wi-fi-windows-11-home-tablet-13-inch-32gb-ram-1tb-rom-platinum-/p/308528
ACs,"Microsoft Surface Pro 11th Edition Wi-Fi Windows 11 Home Tablet (13 Inch, 16GB RAM, 256GB ROM, Platinum)","₹1,13,990",https://www.croma.com/microsoft-surface-pro-11th-edition-wi-fi-windows-11-home-tablet-13-inch-16gb-ram-256gb-rom-platinum-/p/308518
ACs,"Microsoft Surface Pro 11th Edition Wi-Fi Windows 11 Home Tablet (13 Inch, 16GB RAM, 512GB ROM, Platinum)","₹1,61,990",https://www.croma.com/microsoft-surface-pro-11th-edition-wi-fi-windows-11-home-tablet-13-inch-16gb-ram-512gb-rom-platinum-/p/308525
ACs,"Microsoft Surface Pro 11th Edition Wi-Fi Windows 11 Home Tablet (13 Inch, 16GB RAM, 1TB ROM, Black)","₹1,80,990",https://www.croma.com/microsoft-surface-pro-11th-edition-wi-fi-windows-11-home-tablet-13-inch-16gb-ram-1tb-rom-black-/p/308527
